frec_pal1 frec_pal2 frec_pal3 frec_pal4 frec_pal5 frec_pal6 frec_pal7 frec_pal8 frec_pal9 frec_pal10 frec_pal11 frec_pal12 frec_pal13 frec_pal14 frec_pal15 frec_pal16 frec_pal17 frec_pal18 frec_pal19 frec_pal20 frec_pal21 frec_pal22 frec_pal23 frec_pal24 frec_pal25 frec_pal26 frec_pal27 frec_pal28 frec_pal29 frec_pal30 frec_pal31 frec_pal32 frec_pal33 frec_pal34 frec_pal35 frec_pal36 frec_pal37 frec_pal38 frec_pal39 frec_pal40 frec_pal41 frec_pal42 frec_pal43 frec_pal44 frec_pal45 total_palabras es_spam
0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 1
0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 2 0 2 2 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 24 1
4 6 8 0 66 4 13 1 48 0 8 41 1 0 0 0 1 11 183 8 137 0 4 0 0 0 0 0 0 0 0 0 0 0 0 1 8 0 0 0 0 0 0 0 0 622 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 24 1
0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 1
0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 3 0 3 12 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 1
1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 17 1
0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 1
